front,back
먹다,to eat
앉다,to sit
있다,to be (there)
졸다,to be sleepy
없다,to be not (there)
알다,to know
싸우다,to fight
울다,to cry
내다,to hand in; to pay
도와주다,to help
놀다,to play; to hang out
찾다,to look for; to find
듣다,to hear
걷다,to walk
같다,to be the same
가르치다,to teach
늦다,to be late
잔다,to be small
크다,to be big
때리다,to hit (someone)
화내다,to get angry
끝나다,to be over
팔다,to sell
살다,to live
가깝다,to be close
자다,to sleep
아프다,to be sick
싫다,to hate
밀다,to push
마시다,to drink
넣다,to put in
잃어버리다,to lose (something)
달리다,to run
쉽다,to be easy
넓다,to be wide
비싸다,to be expensive
타다,to take; to ride
죽다,to die
누르다,to press
좋아하다,to like
다르다,to be different
찍다,to take (a photo)
느끼다,to feel
덥다,to be hot; to feel hot
벗다,to take off
일어나다,to wake up
멈추다,to stop
쓰다,to write
어렵다,to be difficult
낫다,to feel better
눕다,to lie (down)
나가다,to go out
만나다,to meet (up)
사다,to buy
되다,to become
춥다,to be cold; to feel cold
기다리다,to wait
모르다,to not know
예쁘다,to be pretty
좁다,to be narrow
닫다,to close
하다,to do
보내다,to send
놀라다,to be surprised
놓다,to put
받다,to recieve
무섭다,to be scary; to be scared
배우다,to learn
루어보다,to ask
열다,to open
즣다,to be good
빠르다,to be fast
졸다,to doze off
입다,to wear; to put on
보다,to see
느리다,to be slow
쉬다,to rest
오다,to come
빼다,to take out
피하다,to avoid
기르다,to grow; to raise
바꾸다,to change
얻들다,to make
자르다,to cut
빋다,to believe (in)
귀엽다,to be cute
웃다,to smile
정하다,to decide
고르다,to choose
가다,to go
싸다,to be cheap
읽다,to read
잡다,to grab; to catch
잊어버리다,to forget
당기다,to pull
멀다,to be far
널다,to hang
떠나다,to leave
들어가다,to enter
씻다,to wash
얻다,to get
